sex,age,education,conlib,religion,marital_status,household,BFI_extra,BFI_agree,BFI_consc,BFI_negem,BFI_open,HVIC_HC_avg,HVIC_VC_avg,HVIC_VI_avg,HVIC_HI_avg,prosoc_ALL_avg,CFC_F_avg,CFC_I_avg,helpless_CLIM_avg,helpless_COV_avg,helpless_VAC_avg,threat_COV_avg,threat_VAC_avg,threat_CLIM_avg,procovid_avg,proenviro_avg,provacc_avg,antivacc_avg,vacc_emo_avg
1.0,0.4285714285714286,0.16666666666666666,0.5,0.33333333333333337,1.0,0.33333333333333337,0.25,0.25,0.75,0.25,1.0,0.0,1.0,0.25,0.25,0.0,0.33333333333333337,0.5,0.0,0.6666666666666666,0.6666666666666666,0.33333333333333337,0.9999999999999999,0.5,0.5,1.0,0.75,0.25,3
1.0,0.1428571428571429,0.6666666666666666,0.6666666666666666,0.9999999999999999,0.5,0.33333333333333337,0.75,1.0,0.75,0.75,1.0,1.0,1.0,0.5,1.0,0.5,0.6666666666666666,0.6666666666666666,0.9999999999999999,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,1.0,0.75,0.5,0.75,2
1.0,0.11428571428571432,0.0,0.0,0.0,0.5,0.33333333333333337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
1.0,0.17142857142857149,0.6666666666666666,0.0,0.9999999999999999,0.0,0.5555555555555555,0.5,0.75,0.5,0.75,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.5,0.6666666666666666,0.75,0.25,1.0,0.5,2
1.0,0.1428571428571429,0.6666666666666666,0.5,0.9999999999999999,0.5,0.33333333333333337,0.5,1.0,0.75,0.75,1.0,1.0,1.0,0.0,1.0,0.75,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,0.16666666666666666,0.0,0.9999999999999999,1.0,1.0,0.5,1.0,2
0.0,0.1428571428571429,0.6666666666666666,0.0,0.9999999999999999,0.5,0.5555555555555555,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.0,0.8333333333333334,0.0,0.9999999999999999,0.0,0.9999999999999999,1.0,0.0,0.5,1.0,2
1.0,0.1428571428571429,0.6666666666666666,0.5,0.9999999999999999,0.5,0.2222222222222222,0.5,0.75,0.25,0.5,0.75,1.0,0.75,0.75,0.75,0.25,0.6666666666666666,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.33333333333333337,0.5,0.5,0.75,1.0,1.0,2
0.0,0.1428571428571429,0.6666666666666666,0.0,0.9999999999999999,0.5,0.9999999999999999,1.0,0.75,0.25,0.0,1.0,1.0,0.75,0.5,1.0,1.0,0.6666666666666666,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.75,0.5,1.0,1.0,3
1.0,0.1428571428571429,0.6666666666666666,0.9999999999999999,0.9999999999999999,0.5,0.5555555555555555,0.0,1.0,0.25,1.0,0.25,1.0,1.0,1.0,1.0,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.6666666666666666,0.33333333333333337,0.16666666666666666,0.16666666666666666,0.9999999999999999,0.75,0.75,1.0,0.75,2
1.0,0.2857142857142857,0.6666666666666666,0.9999999999999999,0.9999999999999999,0.5,0.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,2
0.0,0.11428571428571432,0.16666666666666666,0.16666666666666666,0.9999999999999999,0.5,0.33333333333333337,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,3
1.0,0.17142857142857149,0.6666666666666666,0.5,0.9999999999999999,0.5,0.2222222222222222,0.25,0.75,0.75,0.75,0.5,1.0,0.75,0.5,1.0,1.0,0.6666666666666666,0.0,0.9999999999999999,0.8333333333333334,0.8333333333333334,0.9999999999999999,0.6666666666666666,0.8333333333333334,0.75,0.75,0.75,1.0,2
1.0,0.1428571428571429,0.5,0.5,0.9999999999999999,0.5,0.2222222222222222,0.75,0.75,0.75,0.75,0.75,1.0,0.75,1.0,0.75,0.25,0.9999999999999999,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.9999999999999999,0.8333333333333334,0.9999999999999999,0.75,0.5,1.0,0.75,3
1.0,0.17142857142857149,0.6666666666666666,0.16666666666666666,0.9999999999999999,0.0,0.33333333333333337,0.0,1.0,0.75,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.9999999999999999,0.0,0.33333333333333337,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,0.75,1.0,0.5,2
1.0,0.1428571428571429,0.5,0.6666666666666666,0.9999999999999999,0.0,0.6666666666666666,0.25,0.5,0.75,0.75,0.75,0.75,0.5,0.5,0.75,0.5,0.6666666666666666,0.5,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.5,1.0,0.75,3
0.0,0.1428571428571429,0.6666666666666666,0.5,0.9999999999999999,0.5,0.1111111111111111,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5,0.8333333333333334,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,0.75,1.0,2
0.0,0.02857142857142858,0.5,0.33333333333333337,0.16666666666666666,0.5,0.0,0.25,0.25,0.25,0.5,0.25,0.25,0.25,0.5,0.5,0.75,0.33333333333333337,0.33333333333333337,0.33333333333333337,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.5,0.25,0.5,0.5,0.75,3
0.0,0.1428571428571429,0.6666666666666666,0.9999999999999999,0.9999999999999999,0.5,0.5555555555555555,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,0.9999999999999999,0.0,1.0,0.0,1.0,2
1.0,0.22857142857142854,0.6666666666666666,0.33333333333333337,0.9999999999999999,0.5,0.1111111111111111,0.5,1.0,1.0,0.75,0.5,0.25,0.5,0.25,0.75,0.75,0.33333333333333337,0.6666666666666666,0.9999999999999999,0.8333333333333334,0.33333333333333337,0.5,0.5,0.5,0.75,0.5,0.25,0.25,2
1.0,0.2857142857142857,0.6666666666666666,0.0,0.9999999999999999,0.5,0.9999999999999999,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.0,0.0,0.0,0.9999999999999999,1.0,1.0,1.0,1.0,2
1.0,0.0,0.5,0.9999999999999999,0.9999999999999999,0.5,0.2222222222222222,0.0,1.0,0.5,1.0,1.0,1.0,0.0,1.0,0.5,0.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,1.0,0.5,1.0,0.5,2
1.0,0.11428571428571432,0.6666666666666666,0.5,0.8333333333333334,0.5,0.2222222222222222,0.75,0.75,0.5,0.75,0.75,1.0,0.5,0.25,1.0,0.5,0.8333333333333334,0.5,0.9999999999999999,0.5,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.9999999999999999,1.0,0.75,1.0,1.0,3
1.0,0.20000000000000007,0.16666666666666666,0.0,0.9999999999999999,0.5,0.4444444444444444,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,3
0.0,0.11428571428571432,0.6666666666666666,0.0,0.9999999999999999,0.5,0.1111111111111111,0.5,1.0,1.0,0.25,1.0,1.0,1.0,0.0,1.0,0.5,0.5,0.6666666666666666,0.9999999999999999,0.6666666666666666,0.5,0.9999999999999999,0.5,0.5,1.0,0.5,0.5,0.75,2
0.0,0.37142857142857144,0.6666666666666666,0.0,0.9999999999999999,0.0,0.0,0.0,0.75,0.25,1.0,0.5,1.0,0.0,1.0,0.5,0.0,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,0.75,1.0,2
0.0,0.02857142857142858,0.16666666666666666,0.0,0.9999999999999999,0.5,0.4444444444444444,0.25,0.75,0.5,0.75,0.25,0.25,0.25,0.75,0.75,1.0,0.9999999999999999,0.9999999999999999,0.6666666666666666,0.5,0.5,0.5,0.0,0.0,1.0,0.75,0.5,0.5,2
0.0,0.3142857142857143,0.6666666666666666,0.0,0.9999999999999999,0.0,0.1111111111111111,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,0.0,1.0,2
1.0,0.34285714285714286,0.8333333333333334,0.9999999999999999,0.9999999999999999,0.5,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,0.9999999999999999,0.0,0.9999999999999999,1.0,1.0,1.0,1.0,3
1.0,0.17142857142857149,0.6666666666666666,0.33333333333333337,0.33333333333333337,0.5,0.33333333333333337,0.25,0.5,0.25,0.25,0.25,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.33333333333333337,0.33333333333333337,0.5,0.6666666666666666,0.5,0.5,0.5,0.5,0.5,0.5,2
1.0,0.20000000000000007,0.6666666666666666,0.6666666666666666,0.9999999999999999,0.5,0.1111111111111111,0.5,1.0,0.75,0.25,0.75,0.75,0.75,1.0,0.75,1.0,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.9999999999999999,0.8333333333333334,0.8333333333333334,1.0,1.0,0.0,0.0,2
1.0,0.17142857142857149,0.33333333333333337,0.0,0.9999999999999999,0.5,0.5555555555555555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,3
1.0,0.6,0.5,0.0,0.9999999999999999,0.0,0.2222222222222222,0.0,1.0,0.0,0.5,0.75,1.0,0.75,0.0,1.0,0.0,0.0,0.9999999999999999,0.0,0.9999999999999999,0.0,0.9999999999999999,0.5,0.8333333333333334,0.75,1.0,1.0,1.0,3
0.0,0.1428571428571429,0.6666666666666666,0.9999999999999999,0.9999999999999999,0.5,0.2222222222222222,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,3
0.0,0.7428571428571428,0.5,0.9999999999999999,0.9999999999999999,0.0,0.33333333333333337,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.0,0.9999999999999999,0.0,0.9999999999999999,1.0,1.0,1.0,1.0,2
1.0,0.9999999999999999,0.5,0.0,0.9999999999999999,0.0,0.5555555555555555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,3
1.0,0.2571428571428571,0.6666666666666666,0.0,0.9999999999999999,0.5,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,3
1.0,0.11428571428571432,0.33333333333333337,0.0,0.9999999999999999,0.5,0.4444444444444444,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,3
1.0,0.17142857142857149,0.6666666666666666,0.0,0.9999999999999999,0.5,0.5555555555555555,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.0,0.9999999999999999,0.9999999999999999,0.9999999999999999,1.0,1.0,1.0,1.0,1
